episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,377.00,18.85
16,0.00,17.91
17,0.00,17.01
18,0.00,16.16
19,0.00,15.35
20,0.00,14.59
21,0.00,13.86
22,0.00,13.16
23,0.00,12.51
24,4.00,12.08
25,117.00,17.33
26,0.00,16.46
27,4.00,15.84
28,0.00,15.05
29,0.00,14.29
30,0.00,13.58
31,0.00,12.90
32,93.00,16.90
33,0.00,16.06
34,0.00,15.26
35,0.00,14.49
36,0.00,13.77
37,0.00,13.08
38,0.00,12.43
39,0.00,11.80
40,0.00,11.21
41,0.00,10.65
42,0.00,10.12
43,0.00,9.62
44,0.00,9.13
45,0.00,8.68
46,0.00,8.24
47,0.00,7.83
48,0.00,7.44
49,0.00,7.07
50,0.00,6.71
51,0.00,6.38
52,0.00,6.06
53,0.00,5.76
54,0.00,5.47
55,0.00,5.20
56,0.00,4.94
57,0.00,4.69
58,0.00,4.45
59,0.00,4.23
60,0.00,4.02
61,0.00,3.82
62,0.00,3.63
63,0.00,3.45
64,0.00,3.27
65,0.00,3.11
66,0.00,2.96
67,0.00,2.81
68,0.00,2.67
69,0.00,2.53
70,0.00,2.41
71,0.00,2.29
72,0.00,2.17
73,0.00,2.06
74,0.00,1.96
75,0.00,1.86
76,0.00,1.77
77,0.00,1.68
78,0.00,1.60
79,0.00,1.52
80,0.00,1.44
81,0.00,1.37
82,0.00,1.30
83,0.00,1.24
84,0.00,1.17
85,0.00,1.12
86,0.00,1.06
87,0.00,1.01
88,0.00,0.96
89,0.00,0.91
90,0.00,0.86
91,0.00,0.82
92,0.00,0.78
93,0.00,0.74
94,0.00,0.70
95,0.00,0.67
96,0.00,0.63
97,0.00,0.60
98,0.00,0.57
99,0.00,0.54
100,0.00,0.52
101,0.00,0.49
102,0.00,0.47
103,0.00,0.44
104,0.00,0.42
105,0.00,0.40
106,0.00,0.38
107,0.00,0.36
108,0.00,0.34
109,0.00,0.33
110,0.00,0.31
111,0.00,0.29
112,0.00,0.28
113,0.00,0.27
114,0.00,0.25
115,0.00,0.24
116,0.00,0.23
117,0.00,0.22
118,0.00,0.21
119,0.00,0.19
120,0.00,0.19
121,0.00,0.18
122,0.00,0.17
123,0.00,0.16
124,0.00,0.15
125,0.00,0.14
126,0.00,0.14
127,0.00,0.13
128,0.00,0.12
129,129.00,6.57
130,0.00,6.24
131,9.00,6.38
132,0.00,6.06
133,0.00,5.75
134,0.00,5.47
135,0.00,5.19
136,0.00,4.93
137,0.00,4.69
138,0.00,4.45
139,0.00,4.23
140,0.00,4.02
141,0.00,3.82
142,0.00,3.63
143,0.00,3.45
144,0.00,3.27
145,0.00,3.11
146,0.00,2.95
147,0.00,2.81
148,0.00,2.67
149,0.00,2.53
150,0.00,2.41
151,0.00,2.29
152,0.00,2.17
153,0.00,2.06
154,0.00,1.96
155,0.00,1.86
156,0.00,1.77
157,0.00,1.68
158,0.00,1.60
159,0.00,1.52
160,0.00,1.44
161,0.00,1.37
162,0.00,1.30
163,0.00,1.24
164,0.00,1.17
165,0.00,1.11
166,0.00,1.06
167,0.00,1.01
168,20.00,1.96
169,0.00,1.86
170,0.00,1.77
171,0.00,1.68
172,0.00,1.59
173,0.00,1.51
174,0.00,1.44
175,0.00,1.37
176,0.00,1.30
177,0.00,1.23
178,0.00,1.17
179,0.00,1.11
180,0.00,1.06
181,0.00,1.00
182,0.00,0.95
183,0.00,0.91
184,0.00,0.86
185,0.00,0.82
186,0.00,0.78
187,0.00,0.74
188,0.00,0.70
189,0.00,0.67
190,0.00,0.63
191,0.00,0.60
192,0.00,0.57
193,0.00,0.54
194,0.00,0.52
195,0.00,0.49
196,0.00,0.47
197,0.00,0.44
198,0.00,0.42
199,0.00,0.40
200,0.00,0.38
