episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,30.00,1.50
6,0.00,1.42
7,0.00,1.35
8,0.00,1.29
9,0.00,1.22
10,0.00,1.16
11,0.00,1.10
12,0.00,1.05
13,0.00,1.00
14,0.00,0.95
15,0.00,0.90
16,0.00,0.85
17,0.00,0.81
18,0.00,0.77
19,0.00,0.73
20,0.00,0.69
21,0.00,0.66
22,0.00,0.63
23,0.00,0.60
24,0.00,0.57
25,0.00,0.54
26,14.00,1.21
27,0.00,1.15
28,0.00,1.09
29,0.00,1.04
30,0.00,0.99
31,0.00,0.94
32,0.00,0.89
33,0.00,0.85
34,0.00,0.80
35,0.00,0.76
36,0.00,0.72
37,0.00,0.69
38,0.00,0.65
39,0.00,0.62
40,0.00,0.59
41,0.00,0.56
42,0.00,0.53
43,0.00,0.51
44,0.00,0.48
45,0.00,0.46
46,0.00,0.43
47,0.00,0.41
48,121.00,6.44
49,0.00,6.12
50,0.00,5.81
51,0.00,5.52
52,0.00,5.25
53,0.00,4.98
54,0.00,4.74
55,0.00,4.50
56,0.00,4.27
57,83.00,8.21
58,0.00,7.80
59,0.00,7.41
60,0.00,7.04
61,0.00,6.69
62,0.00,6.35
63,0.00,6.04
64,0.00,5.73
65,0.00,5.45
66,0.00,5.17
67,0.00,4.92
68,0.00,4.67
69,0.00,4.44
70,0.00,4.21
71,0.00,4.00
72,0.00,3.80
73,0.00,3.61
74,0.00,3.43
75,0.00,3.26
76,0.00,3.10
77,0.00,2.94
78,0.00,2.80
79,0.00,2.66
80,0.00,2.52
81,0.00,2.40
82,0.00,2.28
83,0.00,2.16
84,0.00,2.06
85,0.00,1.95
86,0.00,1.85
87,0.00,1.76
88,0.00,1.67
89,0.00,1.59
90,0.00,1.51
91,0.00,1.44
92,0.00,1.36
93,0.00,1.30
94,0.00,1.23
95,0.00,1.17
96,0.00,1.11
97,0.00,1.06
98,0.00,1.00
99,0.00,0.95
100,0.00,0.90
101,0.00,0.86
102,0.00,0.82
103,0.00,0.78
104,0.00,0.74
105,0.00,0.70
106,0.00,0.66
107,0.00,0.63
108,0.00,0.60
109,0.00,0.57
110,0.00,0.54
111,0.00,0.51
112,0.00,0.49
113,0.00,0.46
114,0.00,0.44
115,0.00,0.42
116,0.00,0.40
117,0.00,0.38
118,0.00,0.36
119,0.00,0.34
120,0.00,0.32
121,0.00,0.31
122,0.00,0.29
123,0.00,0.28
124,0.00,0.26
125,0.00,0.25
126,0.00,0.24
127,0.00,0.23
128,0.00,0.22
129,0.00,0.20
130,0.00,0.19
131,0.00,0.18
132,0.00,0.18
133,0.00,0.17
134,0.00,0.16
135,0.00,0.15
136,0.00,0.14
137,0.00,0.14
138,0.00,0.13
139,0.00,0.12
140,0.00,0.12
141,0.00,0.11
142,0.00,0.10
143,0.00,0.10
144,0.00,0.09
145,0.00,0.09
146,0.00,0.09
147,0.00,0.08
148,0.00,0.08
149,0.00,0.07
150,0.00,0.07
151,0.00,0.07
152,0.00,0.06
153,0.00,0.06
154,0.00,0.06
155,0.00,0.05
156,0.00,0.05
157,0.00,0.05
158,0.00,0.05
159,0.00,0.04
160,0.00,0.04
161,0.00,0.04
162,0.00,0.04
163,0.00,0.04
164,0.00,0.03
165,0.00,0.03
166,0.00,0.03
167,0.00,0.03
168,0.00,0.03
169,0.00,0.03
170,0.00,0.02
171,0.00,0.02
172,0.00,0.02
173,0.00,0.02
174,0.00,0.02
175,0.00,0.02
176,0.00,0.02
177,0.00,0.02
178,0.00,0.02
179,0.00,0.02
180,0.00,0.01
181,0.00,0.01
182,0.00,0.01
183,0.00,0.01
184,0.00,0.01
185,0.00,0.01
186,0.00,0.01
187,0.00,0.01
188,0.00,0.01
189,0.00,0.01
190,0.00,0.01
191,0.00,0.01
192,0.00,0.01
193,0.00,0.01
194,0.00,0.01
195,0.00,0.01
196,0.00,0.01
197,0.00,0.01
198,0.00,0.01
199,0.00,0.01
200,0.00,0.01
