episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,146.00,7.30
43,0.00,6.94
44,0.00,6.59
45,0.00,6.26
46,0.00,5.95
47,0.00,5.65
48,0.00,5.37
49,0.00,5.10
50,0.00,4.84
51,0.00,4.60
52,0.00,4.37
53,0.00,4.15
54,0.00,3.94
55,0.00,3.75
56,0.00,3.56
57,0.00,3.38
58,0.00,3.21
59,0.00,3.05
60,0.00,2.90
61,0.00,2.75
62,0.00,2.62
63,0.00,2.49
64,0.00,2.36
65,0.00,2.24
66,0.00,2.13
67,0.00,2.02
68,0.00,1.92
69,0.00,1.83
70,0.00,1.74
71,0.00,1.65
72,0.00,1.57
73,0.00,1.49
74,0.00,1.41
75,0.00,1.34
76,0.00,1.28
77,0.00,1.21
78,0.00,1.15
79,46.00,3.39
80,0.00,3.22
81,0.00,3.06
82,0.00,2.91
83,0.00,2.76
84,0.00,2.63
85,0.00,2.50
86,0.00,2.37
87,0.00,2.25
88,0.00,2.14
89,0.00,2.03
90,0.00,1.93
91,0.00,1.83
92,0.00,1.74
93,0.00,1.66
94,0.00,1.57
95,0.00,1.49
96,0.00,1.42
97,0.00,1.35
98,0.00,1.28
99,0.00,1.22
100,0.00,1.16
101,0.00,1.10
102,0.00,1.04
103,0.00,0.99
104,0.00,0.94
105,0.00,0.89
106,0.00,0.85
107,0.00,0.81
108,0.00,0.77
109,0.00,0.73
110,0.00,0.69
111,0.00,0.66
112,0.00,0.62
113,0.00,0.59
114,0.00,0.56
115,0.00,0.54
116,0.00,0.51
117,0.00,0.48
118,0.00,0.46
119,0.00,0.44
120,0.00,0.41
121,0.00,0.39
122,0.00,0.37
123,0.00,0.36
124,0.00,0.34
125,0.00,0.32
126,0.00,0.30
127,0.00,0.29
128,0.00,0.27
129,0.00,0.26
130,0.00,0.25
131,0.00,0.24
132,0.00,0.22
133,0.00,0.21
134,0.00,0.20
135,0.00,0.19
136,0.00,0.18
137,0.00,0.17
138,0.00,0.16
139,0.00,0.16
140,0.00,0.15
141,0.00,0.14
142,0.00,0.13
143,0.00,0.13
144,0.00,0.12
145,0.00,0.11
146,0.00,0.11
147,0.00,0.10
148,0.00,0.10
149,0.00,0.09
150,0.00,0.09
151,0.00,0.08
152,0.00,0.08
153,0.00,0.08
154,0.00,0.07
155,0.00,0.07
156,0.00,0.07
157,0.00,0.06
158,0.00,0.06
159,0.00,0.06
160,0.00,0.05
161,0.00,0.05
162,0.00,0.05
163,0.00,0.05
164,0.00,0.04
165,0.00,0.04
166,0.00,0.04
167,0.00,0.04
168,0.00,0.04
169,0.00,0.03
170,0.00,0.03
171,0.00,0.03
172,0.00,0.03
173,0.00,0.03
174,0.00,0.03
175,0.00,0.02
176,0.00,0.02
177,0.00,0.02
178,0.00,0.02
179,0.00,0.02
180,0.00,0.02
181,0.00,0.02
182,0.00,0.02
183,0.00,0.02
184,0.00,0.02
185,0.00,0.01
186,0.00,0.01
187,0.00,0.01
188,0.00,0.01
189,0.00,0.01
190,0.00,0.01
191,0.00,0.01
192,0.00,0.01
193,0.00,0.01
194,0.00,0.01
195,0.00,0.01
196,0.00,0.01
197,0.00,0.01
198,0.00,0.01
199,67.00,3.36
200,0.00,3.19
