episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,103.00,5.15
17,0.00,4.89
18,0.00,4.65
19,0.00,4.42
20,0.00,4.19
21,0.00,3.98
22,0.00,3.79
23,0.00,3.60
24,0.00,3.42
25,0.00,3.25
26,0.00,3.08
27,0.00,2.93
28,0.00,2.78
29,0.00,2.64
30,0.00,2.51
31,0.00,2.39
32,0.00,2.27
33,0.00,2.15
34,0.00,2.05
35,0.00,1.94
36,0.00,1.85
37,0.00,1.75
38,0.00,1.67
39,0.00,1.58
40,29.00,2.95
41,0.00,2.81
42,0.00,2.67
43,0.00,2.53
44,0.00,2.41
45,0.00,2.29
46,0.00,2.17
47,0.00,2.06
48,0.00,1.96
49,0.00,1.86
50,0.00,1.77
51,0.00,1.68
52,0.00,1.60
53,0.00,1.52
54,0.00,1.44
55,0.00,1.37
56,0.00,1.30
57,0.00,1.24
58,0.00,1.17
59,0.00,1.11
60,0.00,1.06
61,0.00,1.01
62,0.00,0.96
63,0.00,0.91
64,0.00,0.86
65,0.00,0.82
66,0.00,0.78
67,0.00,0.74
68,0.00,0.70
69,0.00,0.67
70,0.00,0.63
71,0.00,0.60
72,0.00,0.57
73,0.00,0.54
74,0.00,0.52
75,0.00,0.49
76,0.00,0.47
77,0.00,0.44
78,0.00,0.42
79,0.00,0.40
80,0.00,0.38
81,0.00,0.36
82,0.00,0.34
83,0.00,0.33
84,0.00,0.31
85,0.00,0.29
86,0.00,0.28
87,23.00,1.42
88,0.00,1.34
89,0.00,1.28
90,0.00,1.21
91,0.00,1.15
92,0.00,1.09
93,0.00,1.04
94,0.00,0.99
95,0.00,0.94
96,0.00,0.89
97,0.00,0.85
98,0.00,0.80
99,0.00,0.76
100,0.00,0.73
101,0.00,0.69
102,0.00,0.66
103,0.00,0.62
104,0.00,0.59
105,0.00,0.56
106,0.00,0.53
107,0.00,0.51
108,0.00,0.48
109,0.00,0.46
110,0.00,0.43
111,0.00,0.41
112,0.00,0.39
113,0.00,0.37
114,0.00,0.35
115,0.00,0.34
116,0.00,0.32
117,0.00,0.30
118,0.00,0.29
119,0.00,0.27
120,0.00,0.26
121,0.00,0.25
122,0.00,0.24
123,0.00,0.22
124,0.00,0.21
125,0.00,0.20
126,8.00,0.59
127,0.00,0.56
128,0.00,0.53
129,0.00,0.51
130,0.00,0.48
131,0.00,0.46
132,0.00,0.43
133,0.00,0.41
134,0.00,0.39
135,0.00,0.37
136,0.00,0.35
137,0.00,0.34
138,0.00,0.32
139,0.00,0.30
140,171.00,8.84
141,0.00,8.40
142,0.00,7.98
143,0.00,7.58
144,0.00,7.20
145,0.00,6.84
146,0.00,6.50
147,0.00,6.17
148,0.00,5.86
149,0.00,5.57
150,0.00,5.29
151,0.00,5.03
152,0.00,4.78
153,0.00,4.54
154,0.00,4.31
155,0.00,4.09
156,0.00,3.89
157,0.00,3.70
158,0.00,3.51
159,0.00,3.34
160,0.00,3.17
161,0.00,3.01
162,0.00,2.86
163,0.00,2.72
164,0.00,2.58
165,0.00,2.45
166,0.00,2.33
167,0.00,2.21
168,0.00,2.10
169,0.00,2.00
170,0.00,1.90
171,0.00,1.80
172,0.00,1.71
173,0.00,1.63
174,0.00,1.55
175,0.00,1.47
176,0.00,1.39
177,0.00,1.32
178,0.00,1.26
179,0.00,1.20
180,0.00,1.14
181,0.00,1.08
182,0.00,1.03
183,0.00,0.97
184,0.00,0.93
185,0.00,0.88
186,0.00,0.83
187,0.00,0.79
188,0.00,0.75
189,0.00,0.72
190,0.00,0.68
191,0.00,0.65
192,0.00,0.61
193,0.00,0.58
194,0.00,0.55
195,0.00,0.53
196,0.00,0.50
197,0.00,0.47
198,0.00,0.45
199,0.00,0.43
200,0.00,0.41
