episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,0.00,0.00
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.00,0.00
51,0.00,0.00
52,0.00,0.00
53,0.00,0.00
54,0.00,0.00
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.00,0.00
59,0.00,0.00
60,0.00,0.00
61,0.00,0.00
62,0.00,0.00
63,0.00,0.00
64,0.00,0.00
65,0.00,0.00
66,0.00,0.00
67,0.00,0.00
68,0.00,0.00
69,0.00,0.00
70,0.00,0.00
71,0.00,0.00
72,0.00,0.00
73,0.00,0.00
74,0.00,0.00
75,0.00,0.00
76,21.00,1.05
77,0.00,1.00
78,0.00,0.95
79,0.00,0.90
80,0.00,0.86
81,0.00,0.81
82,0.00,0.77
83,0.00,0.73
84,0.00,0.70
85,0.00,0.66
86,0.00,0.63
87,0.00,0.60
88,56.00,3.37
89,0.00,3.20
90,0.00,3.04
91,0.00,2.89
92,0.00,2.74
93,0.00,2.61
94,0.00,2.48
95,0.00,2.35
96,0.00,2.23
97,0.00,2.12
98,0.00,2.02
99,0.00,1.92
100,0.00,1.82
101,0.00,1.73
102,0.00,1.64
103,0.00,1.56
104,0.00,1.48
105,0.00,1.41
106,0.00,1.34
107,0.00,1.27
108,0.00,1.21
109,0.00,1.15
110,0.00,1.09
111,0.00,1.03
112,0.00,0.98
113,0.00,0.93
114,0.00,0.89
115,0.00,0.84
116,0.00,0.80
117,0.00,0.76
118,0.00,0.72
119,0.00,0.69
120,0.00,0.65
121,10.00,1.12
122,0.00,1.06
123,0.00,1.01
124,0.00,0.96
125,0.00,0.91
126,0.00,0.87
127,0.00,0.82
128,0.00,0.78
129,0.00,0.74
130,0.00,0.71
131,0.00,0.67
132,0.00,0.64
133,0.00,0.61
134,0.00,0.57
135,0.00,0.55
136,0.00,0.52
137,0.00,0.49
138,0.00,0.47
139,0.00,0.44
140,0.00,0.42
141,0.00,0.40
142,0.00,0.38
143,0.00,0.36
144,0.00,0.34
145,0.00,0.33
146,0.00,0.31
147,0.00,0.30
148,0.00,0.28
149,0.00,0.27
150,0.00,0.25
151,0.00,0.24
152,0.00,0.23
153,0.00,0.22
154,0.00,0.21
155,0.00,0.20
156,0.00,0.19
157,0.00,0.18
158,0.00,0.17
159,0.00,0.16
160,0.00,0.15
161,0.00,0.14
162,0.00,0.14
163,0.00,0.13
164,0.00,0.12
165,0.00,0.12
166,0.00,0.11
167,0.00,0.11
168,0.00,0.10
169,0.00,0.10
170,0.00,0.09
171,0.00,0.09
172,0.00,0.08
173,0.00,0.08
174,0.00,0.07
175,0.00,0.07
176,0.00,0.07
177,0.00,0.06
178,0.00,0.06
179,0.00,0.06
180,0.00,0.05
181,0.00,0.05
182,0.00,0.05
183,0.00,0.05
184,0.00,0.04
185,0.00,0.04
186,0.00,0.04
187,0.00,0.04
188,0.00,0.04
189,0.00,0.03
190,0.00,0.03
191,0.00,0.03
192,0.00,0.03
193,25.00,1.28
194,0.00,1.21
195,0.00,1.15
196,0.00,1.10
197,0.00,1.04
198,0.00,0.99
199,0.00,0.94
200,0.00,0.89
