episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.00,0.00
33,0.00,0.00
34,0.00,0.00
35,0.00,0.00
36,0.00,0.00
37,0.00,0.00
38,0.00,0.00
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,0.00,0.00
43,0.00,0.00
44,0.00,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.00,0.00
51,0.00,0.00
52,0.00,0.00
53,0.00,0.00
54,0.00,0.00
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.00,0.00
59,0.00,0.00
60,0.00,0.00
61,0.00,0.00
62,0.00,0.00
63,0.00,0.00
64,0.00,0.00
65,0.00,0.00
66,0.00,0.00
67,0.00,0.00
68,0.00,0.00
69,0.00,0.00
70,0.00,0.00
71,0.00,0.00
72,0.00,0.00
73,0.00,0.00
74,0.00,0.00
75,0.00,0.00
76,0.00,0.00
77,0.00,0.00
78,0.00,0.00
79,0.00,0.00
80,0.00,0.00
81,0.00,0.00
82,0.00,0.00
83,0.00,0.00
84,0.00,0.00
85,0.00,0.00
86,0.00,0.00
87,0.00,0.00
88,0.00,0.00
89,0.00,0.00
90,0.00,0.00
91,0.00,0.00
92,0.00,0.00
93,0.00,0.00
94,11.00,0.55
95,0.00,0.52
96,0.00,0.50
97,0.00,0.47
98,0.00,0.45
99,0.00,0.43
100,0.00,0.40
101,0.00,0.38
102,0.00,0.36
103,0.00,0.35
104,0.00,0.33
105,0.00,0.31
106,0.00,0.30
107,0.00,0.28
108,0.00,0.27
109,0.00,0.25
110,0.00,0.24
111,0.00,0.23
112,0.00,0.22
113,0.00,0.21
114,0.00,0.20
115,0.00,0.19
116,0.00,0.18
117,0.00,0.17
118,0.00,0.16
119,0.00,0.15
120,0.00,0.14
121,0.00,0.14
122,108.00,5.53
123,0.00,5.25
124,0.00,4.99
125,0.00,4.74
126,0.00,4.50
127,0.00,4.28
128,0.00,4.07
129,0.00,3.86
130,0.00,3.67
131,0.00,3.49
132,0.00,3.31
133,0.00,3.15
134,0.00,2.99
135,139.00,9.79
136,0.00,9.30
137,0.00,8.83
138,0.00,8.39
139,0.00,7.97
140,0.00,7.57
141,0.00,7.20
142,0.00,6.84
143,0.00,6.49
144,0.00,6.17
145,0.00,5.86
146,0.00,5.57
147,0.00,5.29
148,131.00,11.58
149,0.00,11.00
150,0.00,10.45
151,0.00,9.92
152,0.00,9.43
153,0.00,8.96
154,0.00,8.51
155,0.00,8.08
156,0.00,7.68
157,0.00,7.30
158,0.00,6.93
159,0.00,6.58
160,0.00,6.25
161,0.00,5.94
162,0.00,5.64
163,0.00,5.36
164,0.00,5.09
165,0.00,4.84
166,0.00,4.60
167,0.00,4.37
168,0.00,4.15
169,0.00,3.94
170,0.00,3.74
171,0.00,3.56
172,0.00,3.38
173,0.00,3.21
174,0.00,3.05
175,0.00,2.90
176,0.00,2.75
177,0.00,2.62
178,0.00,2.48
179,0.00,2.36
180,0.00,2.24
181,0.00,2.13
182,0.00,2.02
183,0.00,1.92
184,0.00,1.83
185,0.00,1.74
186,0.00,1.65
187,0.00,1.57
188,0.00,1.49
189,0.00,1.41
190,0.00,1.34
191,0.00,1.28
192,0.00,1.21
193,0.00,1.15
194,0.00,1.09
195,0.00,1.04
196,0.00,0.99
197,0.00,0.94
198,0.00,0.89
199,0.00,0.85
200,0.00,0.80
