episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,175.00,8.75
28,0.00,8.31
29,0.00,7.90
30,0.00,7.50
31,0.00,7.13
32,0.00,6.77
33,0.00,6.43
34,0.00,6.11
35,0.00,5.80
36,0.00,5.51
37,0.00,5.24
38,0.00,4.98
39,0.00,4.73
40,0.00,4.49
41,0.00,4.27
42,0.00,4.05
43,0.00,3.85
44,0.00,3.66
45,0.00,3.48
46,0.00,3.30
47,0.00,3.14
48,0.00,2.98
49,0.00,2.83
50,0.00,2.69
51,0.00,2.55
52,0.00,2.43
53,0.00,2.31
54,0.00,2.19
55,0.00,2.08
56,0.00,1.98
57,0.00,1.88
58,0.00,1.78
59,0.00,1.69
60,0.00,1.61
61,0.00,1.53
62,0.00,1.45
63,0.00,1.38
64,119.00,7.26
65,0.00,6.90
66,0.00,6.55
67,0.00,6.23
68,0.00,5.91
69,0.00,5.62
70,0.00,5.34
71,0.00,5.07
72,0.00,4.82
73,0.00,4.58
74,20.00,5.35
75,0.00,5.08
76,0.00,4.83
77,0.00,4.59
78,0.00,4.36
79,0.00,4.14
80,0.00,3.93
81,0.00,3.73
82,0.00,3.55
83,0.00,3.37
84,0.00,3.20
85,0.00,3.04
86,0.00,2.89
87,19.00,3.70
88,0.00,3.51
89,0.00,3.33
90,0.00,3.17
91,0.00,3.01
92,0.00,2.86
93,0.00,2.72
94,0.00,2.58
95,0.00,2.45
96,0.00,2.33
97,0.00,2.21
98,0.00,2.10
99,0.00,2.00
100,0.00,1.90
101,0.00,1.80
102,0.00,1.71
103,0.00,1.63
104,0.00,1.55
105,0.00,1.47
106,0.00,1.39
107,0.00,1.32
108,0.00,1.26
109,0.00,1.20
110,0.00,1.14
111,0.00,1.08
112,0.00,1.03
113,0.00,0.97
114,0.00,0.93
115,0.00,0.88
116,0.00,0.83
117,0.00,0.79
118,0.00,0.75
119,0.00,0.72
120,0.00,0.68
121,0.00,0.65
122,0.00,0.61
123,0.00,0.58
124,0.00,0.55
125,0.00,0.53
126,0.00,0.50
127,0.00,0.47
128,0.00,0.45
129,0.00,0.43
130,0.00,0.41
131,0.00,0.39
132,0.00,0.37
133,0.00,0.35
134,0.00,0.33
135,0.00,0.32
136,0.00,0.30
137,0.00,0.28
138,0.00,0.27
139,0.00,0.26
140,0.00,0.24
141,0.00,0.23
142,0.00,0.22
143,0.00,0.21
144,0.00,0.20
145,0.00,0.19
146,0.00,0.18
147,0.00,0.17
148,0.00,0.16
149,0.00,0.15
150,0.00,0.15
151,0.00,0.14
152,0.00,0.13
153,0.00,0.13
154,0.00,0.12
155,0.00,0.11
156,0.00,0.11
157,0.00,0.10
158,0.00,0.10
159,0.00,0.09
160,0.00,0.09
161,0.00,0.08
162,0.00,0.08
163,0.00,0.07
164,0.00,0.07
165,0.00,0.07
166,0.00,0.06
167,0.00,0.06
168,0.00,0.06
169,0.00,0.06
170,0.00,0.05
171,0.00,0.05
172,0.00,0.05
173,0.00,0.04
174,0.00,0.04
175,0.00,0.04
176,0.00,0.04
177,0.00,0.04
178,0.00,0.03
179,0.00,0.03
180,0.00,0.03
181,0.00,0.03
182,0.00,0.03
183,0.00,0.03
184,0.00,0.03
185,0.00,0.02
186,0.00,0.02
187,0.00,0.02
188,0.00,0.02
189,0.00,0.02
190,0.00,0.02
191,0.00,0.02
192,0.00,0.02
193,0.00,0.02
194,0.00,0.02
195,0.00,0.01
196,0.00,0.01
197,0.00,0.01
198,0.00,0.01
199,0.00,0.01
200,0.00,0.01
