episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,104.00,5.20
9,0.00,4.94
10,0.00,4.69
11,0.00,4.46
12,0.00,4.24
13,0.00,4.02
14,0.00,3.82
15,0.00,3.63
16,0.00,3.45
17,0.00,3.28
18,0.00,3.11
19,0.00,2.96
20,0.00,2.81
21,0.00,2.67
22,0.00,2.54
23,0.00,2.41
24,0.00,2.29
25,0.00,2.17
26,0.00,2.07
27,0.00,1.96
28,0.00,1.86
29,0.00,1.77
30,0.00,1.68
31,0.00,1.60
32,0.00,1.52
33,0.00,1.44
34,0.00,1.37
35,0.00,1.30
36,0.00,1.24
37,0.00,1.17
38,0.00,1.12
39,0.00,1.06
40,0.00,1.01
41,0.00,0.96
42,10.00,1.41
43,0.00,1.34
44,0.00,1.27
45,0.00,1.21
46,0.00,1.15
47,0.00,1.09
48,0.00,1.04
49,0.00,0.98
50,0.00,0.93
51,0.00,0.89
52,0.00,0.84
53,0.00,0.80
54,0.00,0.76
55,0.00,0.72
56,0.00,0.69
57,0.00,0.65
58,0.00,0.62
59,0.00,0.59
60,0.00,0.56
61,0.00,0.53
62,0.00,0.51
63,0.00,0.48
64,0.00,0.46
65,0.00,0.43
66,0.00,0.41
67,0.00,0.39
68,0.00,0.37
69,0.00,0.35
70,0.00,0.34
71,0.00,0.32
72,0.00,0.30
73,0.00,0.29
74,0.00,0.27
75,0.00,0.26
76,0.00,0.25
77,0.00,0.23
78,0.00,0.22
79,0.00,0.21
80,0.00,0.20
81,0.00,0.19
82,0.00,0.18
83,0.00,0.17
84,37.00,2.01
85,0.00,1.91
86,0.00,1.82
87,0.00,1.73
88,0.00,1.64
89,0.00,1.56
90,0.00,1.48
91,0.00,1.41
92,0.00,1.34
93,0.00,1.27
94,0.00,1.21
95,0.00,1.15
96,6.00,1.39
97,0.00,1.32
98,0.00,1.25
99,0.00,1.19
100,0.00,1.13
101,64.00,4.27
102,0.00,4.06
103,0.00,3.86
104,0.00,3.66
105,0.00,3.48
106,0.00,3.31
107,0.00,3.14
108,0.00,2.98
109,0.00,2.84
110,0.00,2.69
111,0.00,2.56
112,0.00,2.43
113,0.00,2.31
114,0.00,2.19
115,0.00,2.08
116,0.00,1.98
117,0.00,1.88
118,0.00,1.79
119,0.00,1.70
120,0.00,1.61
121,0.00,1.53
122,0.00,1.46
123,0.00,1.38
124,0.00,1.31
125,0.00,1.25
126,0.00,1.19
127,0.00,1.13
128,0.00,1.07
129,0.00,1.02
130,0.00,0.97
131,0.00,0.92
132,0.00,0.87
133,13.00,1.48
134,0.00,1.40
135,0.00,1.33
136,0.00,1.27
137,0.00,1.20
138,0.00,1.14
139,0.00,1.09
140,0.00,1.03
141,2.00,1.08
142,0.00,1.03
143,0.00,0.98
144,0.00,0.93
145,0.00,0.88
146,0.00,0.84
147,0.00,0.79
148,0.00,0.75
149,0.00,0.72
150,0.00,0.68
151,0.00,0.65
152,0.00,0.61
153,0.00,0.58
154,0.00,0.55
155,0.00,0.53
156,0.00,0.50
157,0.00,0.48
158,0.00,0.45
159,0.00,0.43
160,0.00,0.41
161,0.00,0.39
162,0.00,0.37
163,0.00,0.35
164,0.00,0.33
165,0.00,0.32
166,0.00,0.30
167,0.00,0.28
168,0.00,0.27
169,0.00,0.26
170,0.00,0.24
171,0.00,0.23
172,0.00,0.22
173,0.00,0.21
174,0.00,0.20
175,0.00,0.19
176,0.00,0.18
177,0.00,0.17
178,0.00,0.16
179,0.00,0.15
180,0.00,0.15
181,0.00,0.14
182,0.00,0.13
183,0.00,0.13
184,0.00,0.12
185,0.00,0.11
186,0.00,0.11
187,0.00,0.10
188,0.00,0.10
189,0.00,0.09
190,0.00,0.09
191,0.00,0.08
192,0.00,0.08
193,0.00,0.08
194,0.00,0.07
195,0.00,0.07
196,0.00,0.06
197,0.00,0.06
198,0.00,0.06
199,138.00,6.96
200,0.00,6.61
