episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,32.00,1.60
24,48.00,3.92
25,0.00,3.72
26,0.00,3.54
27,0.00,3.36
28,0.00,3.19
29,0.00,3.03
30,0.00,2.88
31,0.00,2.74
32,0.00,2.60
33,0.00,2.47
34,0.00,2.35
35,0.00,2.23
36,0.00,2.12
37,0.00,2.01
38,0.00,1.91
39,0.00,1.82
40,0.00,1.73
41,0.00,1.64
42,0.00,1.56
43,0.00,1.48
44,0.00,1.41
45,0.00,1.34
46,497.00,26.12
47,0.00,24.81
48,0.00,23.57
49,0.00,22.39
50,0.00,21.27
51,0.00,20.21
52,0.00,19.20
53,0.00,18.24
54,0.00,17.33
55,0.00,16.46
56,0.00,15.64
57,0.00,14.86
58,0.00,14.11
59,0.00,13.41
60,0.00,12.74
61,0.00,12.10
62,0.00,11.50
63,0.00,10.92
64,0.00,10.37
65,0.00,9.86
66,0.00,9.36
67,0.00,8.89
68,0.00,8.45
69,0.00,8.03
70,0.00,7.63
71,0.00,7.24
72,0.00,6.88
73,0.00,6.54
74,0.00,6.21
75,0.00,5.90
76,0.00,5.61
77,0.00,5.33
78,0.00,5.06
79,0.00,4.81
80,0.00,4.57
81,0.00,4.34
82,0.00,4.12
83,0.00,3.91
84,0.00,3.72
85,0.00,3.53
86,0.00,3.36
87,0.00,3.19
88,0.00,3.03
89,0.00,2.88
90,0.00,2.73
91,0.00,2.60
92,0.00,2.47
93,0.00,2.34
94,0.00,2.23
95,0.00,2.12
96,0.00,2.01
97,0.00,1.91
98,0.00,1.81
99,0.00,1.72
100,0.00,1.64
101,0.00,1.56
102,0.00,1.48
103,0.00,1.40
104,0.00,1.33
105,0.00,1.27
106,0.00,1.20
107,0.00,1.14
108,0.00,1.09
109,0.00,1.03
110,0.00,0.98
111,0.00,0.93
112,0.00,0.88
113,0.00,0.84
114,0.00,0.80
115,0.00,0.76
116,0.00,0.72
117,0.00,0.68
118,0.00,0.65
119,0.00,0.62
120,0.00,0.59
121,0.00,0.56
122,0.00,0.53
123,0.00,0.50
124,0.00,0.48
125,0.00,0.45
126,0.00,0.43
127,0.00,0.41
128,0.00,0.39
129,0.00,0.37
130,0.00,0.35
131,0.00,0.33
132,0.00,0.32
133,0.00,0.30
134,0.00,0.29
135,0.00,0.27
136,0.00,0.26
137,0.00,0.25
138,0.00,0.23
139,0.00,0.22
140,0.00,0.21
141,0.00,0.20
142,0.00,0.19
143,0.00,0.18
144,0.00,0.17
145,0.00,0.16
146,0.00,0.15
147,0.00,0.15
148,0.00,0.14
149,0.00,0.13
150,0.00,0.13
151,0.00,0.12
152,0.00,0.11
153,0.00,0.11
154,0.00,0.10
155,0.00,0.10
156,0.00,0.09
157,0.00,0.09
158,0.00,0.08
159,0.00,0.08
160,0.00,0.08
161,11.00,0.62
162,0.00,0.59
163,0.00,0.56
164,0.00,0.53
165,0.00,0.51
166,0.00,0.48
167,0.00,0.46
168,0.00,0.43
169,0.00,0.41
170,0.00,0.39
171,0.00,0.37
172,0.00,0.35
173,0.00,0.34
174,0.00,0.32
175,0.00,0.30
176,0.00,0.29
177,0.00,0.27
178,0.00,0.26
179,0.00,0.25
180,0.00,0.23
181,0.00,0.22
182,0.00,0.21
183,0.00,0.20
184,0.00,0.19
185,0.00,0.18
186,0.00,0.17
187,0.00,0.16
188,0.00,0.16
189,0.00,0.15
190,0.00,0.14
191,0.00,0.13
192,0.00,0.13
193,0.00,0.12
194,0.00,0.11
195,0.00,0.11
196,0.00,0.10
197,0.00,0.10
198,0.00,0.09
199,0.00,0.09
200,0.00,0.08
