episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,0.00,0.00
5,0.00,0.00
6,0.00,0.00
7,0.00,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.00,0.00
12,0.00,0.00
13,0.00,0.00
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.00,0.00
18,0.00,0.00
19,0.00,0.00
20,0.00,0.00
21,0.00,0.00
22,0.00,0.00
23,0.00,0.00
24,0.00,0.00
25,0.00,0.00
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,98.00,4.90
30,0.00,4.66
31,0.00,4.42
32,0.00,4.20
33,0.00,3.99
34,0.00,3.79
35,0.00,3.60
36,0.00,3.42
37,0.00,3.25
38,0.00,3.09
39,0.00,2.93
40,0.00,2.79
41,0.00,2.65
42,0.00,2.52
43,0.00,2.39
44,0.00,2.27
45,0.00,2.16
46,0.00,2.05
47,141.00,9.00
48,0.00,8.55
49,0.00,8.12
50,0.00,7.71
51,0.00,7.33
52,0.00,6.96
53,0.00,6.61
54,0.00,6.28
55,0.00,5.97
56,0.00,5.67
57,0.00,5.39
58,0.00,5.12
59,0.00,4.86
60,0.00,4.62
61,0.00,4.39
62,0.00,4.17
63,0.00,3.96
64,0.00,3.76
65,0.00,3.57
66,0.00,3.39
67,0.00,3.23
68,0.00,3.06
69,0.00,2.91
70,0.00,2.77
71,0.00,2.63
72,0.00,2.50
73,0.00,2.37
74,0.00,2.25
75,0.00,2.14
76,0.00,2.03
77,0.00,1.93
78,0.00,1.83
79,0.00,1.74
80,0.00,1.66
81,0.00,1.57
82,0.00,1.49
83,0.00,1.42
84,0.00,1.35
85,0.00,1.28
86,0.00,1.22
87,0.00,1.16
88,0.00,1.10
89,0.00,1.04
90,0.00,0.99
91,0.00,0.94
92,8.00,1.29
93,0.00,1.23
94,0.00,1.17
95,0.00,1.11
96,0.00,1.05
97,0.00,1.00
98,0.00,0.95
99,131.00,7.45
100,0.00,7.08
101,0.00,6.73
102,0.00,6.39
103,0.00,6.07
104,0.00,5.77
105,0.00,5.48
106,0.00,5.21
107,0.00,4.95
108,0.00,4.70
109,0.00,4.46
110,0.00,4.24
111,0.00,4.03
112,0.00,3.83
113,0.00,3.64
114,0.00,3.45
115,0.00,3.28
116,0.00,3.12
117,0.00,2.96
118,0.00,2.81
119,0.00,2.67
120,0.00,2.54
121,0.00,2.41
122,13.00,2.94
123,0.00,2.79
124,0.00,2.65
125,0.00,2.52
126,0.00,2.40
127,0.00,2.28
128,0.00,2.16
129,0.00,2.05
130,0.00,1.95
131,0.00,1.85
132,0.00,1.76
133,0.00,1.67
134,0.00,1.59
135,0.00,1.51
136,0.00,1.43
137,0.00,1.36
138,0.00,1.29
139,0.00,1.23
140,0.00,1.17
141,0.00,1.11
142,0.00,1.05
143,0.00,1.00
144,174.00,9.65
145,0.00,9.17
146,0.00,8.71
147,0.00,8.27
148,0.00,7.86
149,0.00,7.47
150,0.00,7.09
151,0.00,6.74
152,0.00,6.40
153,0.00,6.08
154,0.00,5.78
155,0.00,5.49
156,0.00,5.22
157,0.00,4.95
158,0.00,4.71
159,0.00,4.47
160,0.00,4.25
161,0.00,4.04
162,0.00,3.83
163,0.00,3.64
164,0.00,3.46
165,0.00,3.29
166,0.00,3.12
167,0.00,2.97
168,0.00,2.82
169,0.00,2.68
170,0.00,2.54
171,0.00,2.42
172,0.00,2.30
173,0.00,2.18
174,0.00,2.07
175,0.00,1.97
176,0.00,1.87
177,0.00,1.78
178,0.00,1.69
179,0.00,1.60
180,0.00,1.52
181,0.00,1.45
182,0.00,1.37
183,0.00,1.31
184,0.00,1.24
185,0.00,1.18
186,0.00,1.12
187,0.00,1.06
188,0.00,1.01
189,0.00,0.96
190,0.00,0.91
191,0.00,0.87
192,0.00,0.82
193,0.00,0.78
194,0.00,0.74
195,0.00,0.71
196,0.00,0.67
197,0.00,0.64
198,0.00,0.60
199,0.00,0.57
200,0.00,0.55
