episode,reward,avg_reward
1,0.00,0.00
2,0.00,0.00
3,0.00,0.00
4,47.00,2.35
5,0.00,2.23
6,0.00,2.12
7,0.00,2.01
8,0.00,1.91
9,0.00,1.82
10,0.00,1.73
11,0.00,1.64
12,0.00,1.56
13,0.00,1.48
14,0.00,1.41
15,0.00,1.34
16,0.00,1.27
17,0.00,1.21
18,0.00,1.15
19,0.00,1.09
20,0.00,1.03
21,0.00,0.98
22,0.00,0.93
23,0.00,0.89
24,0.00,0.84
25,0.00,0.80
26,0.00,0.76
27,0.00,0.72
28,0.00,0.69
29,0.00,0.65
30,0.00,0.62
31,0.00,0.59
32,0.00,0.56
33,0.00,0.53
34,0.00,0.50
35,0.00,0.48
36,0.00,0.46
37,0.00,0.43
38,0.00,0.41
39,0.00,0.39
40,0.00,0.37
41,0.00,0.35
42,0.00,0.33
43,0.00,0.32
44,0.00,0.30
45,0.00,0.29
46,0.00,0.27
47,0.00,0.26
48,0.00,0.25
49,24.00,1.43
50,0.00,1.36
51,0.00,1.29
52,0.00,1.23
53,0.00,1.17
54,0.00,1.11
55,0.00,1.05
56,0.00,1.00
57,0.00,0.95
58,0.00,0.90
59,0.00,0.86
60,0.00,0.82
61,0.00,0.77
62,0.00,0.74
63,0.00,0.70
64,0.00,0.66
65,0.00,0.63
66,0.00,0.60
67,0.00,0.57
68,0.00,0.54
69,0.00,0.51
70,0.00,0.49
71,0.00,0.46
72,0.00,0.44
73,0.00,0.42
74,0.00,0.40
75,0.00,0.38
76,0.00,0.36
77,0.00,0.34
78,0.00,0.32
79,0.00,0.31
80,0.00,0.29
81,0.00,0.28
82,0.00,0.26
83,0.00,0.25
84,0.00,0.24
85,0.00,0.23
86,0.00,0.21
87,0.00,0.20
88,0.00,0.19
89,0.00,0.18
90,0.00,0.18
91,0.00,0.17
92,0.00,0.16
93,0.00,0.15
94,0.00,0.14
95,128.00,6.54
96,11.00,6.76
97,0.00,6.42
98,0.00,6.10
99,0.00,5.79
100,0.00,5.50
101,0.00,5.23
102,0.00,4.97
103,0.00,4.72
104,0.00,4.48
105,0.00,4.26
106,0.00,4.05
107,0.00,3.84
108,0.00,3.65
109,0.00,3.47
110,0.00,3.30
111,0.00,3.13
112,0.00,2.97
113,0.00,2.83
114,0.00,2.68
115,0.00,2.55
116,0.00,2.42
117,0.00,2.30
118,0.00,2.19
119,0.00,2.08
120,0.00,1.97
121,0.00,1.87
122,0.00,1.78
123,0.00,1.69
124,0.00,1.61
125,0.00,1.53
126,178.00,10.35
127,0.00,9.83
128,0.00,9.34
129,0.00,8.87
130,0.00,8.43
131,0.00,8.01
132,0.00,7.61
133,0.00,7.23
134,0.00,6.87
135,0.00,6.52
136,0.00,6.20
137,0.00,5.89
138,0.00,5.59
139,0.00,5.31
140,0.00,5.05
141,0.00,4.80
142,0.00,4.56
143,0.00,4.33
144,0.00,4.11
145,0.00,3.91
146,0.00,3.71
147,0.00,3.53
148,0.00,3.35
149,0.00,3.18
150,0.00,3.02
151,0.00,2.87
152,0.00,2.73
153,0.00,2.59
154,0.00,2.46
155,0.00,2.34
156,0.00,2.22
157,0.00,2.11
158,0.00,2.01
159,0.00,1.90
160,0.00,1.81
161,0.00,1.72
162,0.00,1.63
163,0.00,1.55
164,0.00,1.47
165,0.00,1.40
166,0.00,1.33
167,0.00,1.26
168,0.00,1.20
169,0.00,1.14
170,0.00,1.08
171,0.00,1.03
172,0.00,0.98
173,0.00,0.93
174,0.00,0.88
175,0.00,0.84
176,0.00,0.80
177,0.00,0.76
178,0.00,0.72
179,0.00,0.68
180,0.00,0.65
181,0.00,0.62
182,0.00,0.59
183,0.00,0.56
184,0.00,0.53
185,0.00,0.50
186,0.00,0.48
187,0.00,0.45
188,0.00,0.43
189,0.00,0.41
190,0.00,0.39
191,0.00,0.37
192,0.00,0.35
193,0.00,0.33
194,0.00,0.32
195,0.00,0.30
196,0.00,0.29
197,0.00,0.27
198,0.00,0.26
199,0.00,0.24
200,0.00,0.23
